topic,size,label,keywords,mk_q,mk_p,mk_tau,mk_trend,burst_max,drift_total_dist,drift_step_mean,drift_robust_score,method,beta_year_z,p,q
0,536,0_optimization_algorithm_algorithms_genetic,compared; literature; obtained; swarm; particle; pso; bee; abc; colony; artificial; binary; better,0.7345482617150054,0.6572273920607943,-0.0666666666666666,no_trend,,0.3049629926681518,0.0203308661778767,0.0576016813513817,logit,-0.1062739361501724,0.0149264115631901,0.0247885049174408
1,378,1_object_detection_object detection_tracking,images; image; images; image; satellite; resolution; different; obtained; datasets; dataset; deep; training,3.276306780254966e-05,3.675866707464337e-06,0.6633333333333333,increasing,,0.1391347646713256,0.0173918455839157,0.0400462043811786,logit,0.4368296561149259,4.611161532185394e-12,2.6802376405827603e-11
3,314,3_intrusion_intrusion detection_attacks_detection,attacks; attack; cyber; attacks; attack; cyber; threats; internet; things; iot; devices; security,0.0176992819144534,0.0083123655975043,0.38,increasing,,0.0855147838592529,0.0142524639765421,0.0296371656641171,logit,0.6387595278195357,3.5746804950817546e-17,4.1555660755325404e-16
2,310,2_patients_health_patient_medical,patient; patients; medical; medical; care; patient; patients; clinical; ehr; healthcare; health; information,0.7041051258603634,0.6238124360692694,0.0733333333333333,no_trend,,0.1660296320915222,0.0237185188702174,0.0521149125996547,logit,-0.0279879675325563,0.6238942837343632,0.6669214757160434
5,257,5_customer_mining_customers_data mining,mining; data mining; association; apriori; association rules; mining; association; rule; rules; apriori; basket; database,0.1793359186596775,0.1289960116674873,-0.22,no_trend,,0.1490646600723266,0.0298129320144653,0.0580132869800441,logit,-0.1360629573587868,0.0238002718114562,0.0368904213077571
6,256,6_cancer_breast_segmentation_images,images; deep; deep learning; histopathological images; images; neural; convolutional; cnn; deep; accuracy; training; dataset,3.276306780254966e-05,3.736139310817066e-06,0.6633333333333333,increasing,,0.0522586107254028,0.0104517221450805,0.0203381121972184,logit,0.712425659437552,1.1066650243078337e-15,9.356349750966231e-15
4,253,4_face_face recognition_recognition_biometric,face; face recognition; recognition; facial; face detection; faces; face images; recognition; face; facial; faces; illumination,0.978474436157718,0.944141999801307,0.0133333333333333,no_trend,,0.1471023559570312,0.0245170593261718,0.0509817916426708,logit,-0.0918531352809154,0.1375333575548848,0.1728459763865444
7,227,7_sentiment_sentiment analysis_analysis_twitter,sentiment; sentiment analysis; sentiment; positive; negative; neutral; feature; people; opinions; texts; language; natural,9.127902409426328e-05,1.4412477488567887e-05,0.6066666666666667,increasing,,0.1193664073944091,0.017052343913487,0.0374678291479033,logit,0.5442260967962353,1.2564336932119135e-10,6.491574081594886e-10
8,205,8_recommendation_recommender_recommendation systems_filtering,recommendation; recommender; recommendation systems; recommender systems; item; user; users; recommendations; user item; recommendation; recommendations; recommender,0.000652070822355,0.0001638574830593,0.54,increasing,,0.1122000813484191,0.0224400162696838,0.0436662554041441,logit,0.2567097871165789,0.0010199883791969,0.0021079759836737
9,196,9_video_retrieval_image_multimedia,image; images; image retrieval; content image; image; images; features; feature; texture; color; cbir; retrieval,0.0018769678923482,0.0007079791172892,-0.4866666666666667,decreasing,,0.0149576663970947,0.0149576663970947,0.0164326761136463,logit,-0.333782164276553,9.091647245667165e-07,2.915597220162229e-06
16,195,16_sensor_sensor networks_wireless sensor_wireless,sensor; wireless sensor; sensor networks; wireless; nodes; sensor nodes; energy; lifetime; sensor; wireless; nodes; node,0.0853647691474046,0.0554122185693679,-0.2766666666666666,no_trend,,0.0222018957138061,0.0222018957138061,0.0243912754629152,logit,-0.574746753059527,3.2583734371078607e-17,4.1555660755325404e-16
13,181,13_energy_electricity_solar_consumption,energy; solar; renewable; solar energy; energy; renewable; sources; solar; power; panels; photovoltaic; radiation,4.066891195009248e-05,4.99442778334469e-06,0.6533333333333333,increasing,,0.1203961968421936,0.0240792393684387,0.0468560362685771,logit,0.6014747788312279,5.650098192325519e-10,2.765574378348806e-09
10,178,10_stock_price_market_financial,stock; stock market; market; stocks; market; stock; stocks; bist; term; investors; exchange; markets,1.5329824729626296e-05,9.41305027257755e-07,0.7,increasing,,0.0717983245849609,0.0179495811462402,0.0321613319874533,logit,0.7569193101070076,1.0134341888995438e-12,6.2832919711771706e-12
11,177,11_plant_agricultural_diseases_leaf,images; image; images; image; processing; techniques; different; obtained; color; created; dataset; deep,3.406067100364396e-06,5.975556316428765e-08,0.75,increasing,,0.085042655467987,0.0170085310935974,0.033097073275554,logit,1.3821709293622977,2.284393737408749e-21,5.311215439475342e-20
12,176,12_rendering_graphics_3d_tracing,graphics; computer graphics; graphics; computer; hardware; processing; gpu; gpus; rendering; tracing; ray; parallel,4.22172714387159e-06,1.4813077697795054e-07,-0.7533333333333333,decreasing,,,,,logit,-0.7159109013123297,1.1010196153798438e-23,3.413160807677516e-22
24,171,24_text_text classification_classification_documents,text; text classification; texts; categorization; text; categorization; mining; term; weighting; selection; feature; documents,0.0464868217594927,0.0265056439856756,0.32,increasing,,0.0243803858757019,0.0243803858757019,0.0267845915255165,logit,0.124678937031007,0.121121860387542,0.1543059317265946
15,161,15_software_code_metrics_projects,software; quality; software quality; development; software defect; software; development; process; time; quality; product; complexity,0.001866158710945,0.0006875321566639,0.4866666666666667,increasing,,0.0200312137603759,0.0200312137603759,0.0220065375940867,logit,0.2471266545819686,0.0047154881122283,0.008433469123793
31,160,31_turkish_sentence_parsing_morphological,turkish; language; nlp; natural language; languages; turkish; language; processing; natural; nlp; developed; morphological,0.0013329507877728,0.0004209318277177,-0.5066666666666667,decreasing,,,,,logit,-0.3986550127120264,8.377647955646225e-08,3.387483738587387e-07
21,159,21_image_images_edge_color,image; images; image fusion; image segmentation; image processing; image; images; obtained; compared; artificial; literature; different,0.0853647691474046,0.0554122185693679,0.2766666666666666,no_trend,,0.0435652732849121,0.0435652732849121,0.0478613445899889,logit,0.0207706227746298,0.800529606982503,0.8181236642788217
17,157,17_protein_proteins_drug_interactions,protein; proteins; protein protein; protein interactions; protein interaction; protein; proteins; function; functions; sequences; sequence; acid,0.7041051258603634,0.6238124360692694,-0.0733333333333333,no_trend,,,,,logit,-0.1878406986080372,0.0155121090416399,0.0248728644978019
18,156,18_3d_depth_shape_object,depth; images; image; scene; camera; depth estimation; images; image; camera; scene; depth; estimation,0.1054124717259126,0.0721243227598349,-0.26,no_trend,,,,,logit,-0.1798130869724273,0.0213062473996766,0.0335844238672868
14,150,14_blockchain_contracts_smart_decentralized,blockchain; blockchain technology; smart contracts; contracts; smart; smart contract; technology; contract; ethereum; blockchain; technology; smart,0.0001754949559763,3.3867447644553295e-05,0.58,increasing,,0.0792663097381591,0.0198165774345397,0.0355065402660276,logit,1.1993456000168232,2.6137476204109395e-16,2.4307852869821734e-15
19,149,19_search_query_web_news,search; web; information; search engines; search engine; engines; information; internet; users; web; engines; search,0.0207785031279906,0.0109061510333614,-0.3666666666666666,decreasing,,,,,logit,-0.341312289763416,1.01422046779913e-05,2.8582576819793663e-05
25,147,25_privacy_sensitive_data_privacypreserving,privacy; privacy preserving; preserving; anonymization; preserving data; differential privacy; privacy; preserving; shared; anonymity; anonymization; utility,0.1262065820696054,0.0874589472236739,0.2466666666666666,no_trend,,,,,logit,-0.0354521266364948,0.6751022235936295,0.7134603044796312
26,141,26_generative_image_generative adversarial_adversarial,image; images; gan; adversarial; generative; gans; generative adversarial; image; images; generative; adversarial; gan,1.6701821290387998e-05,1.2498513435321712e-06,0.6633333333333333,increasing,,0.0550062656402587,0.0183354218800862,0.0295097231142845,logit,1.1541439678263772,7.348966699541194e-15,5.695449192144427e-14
20,136,20_agent_agents_services_web services,agent; agents; multiagent; agent; agents; multiagent; intelligent; mobile; code; distributed; jade; development,1.6701821290387998e-05,1.3349516918559343e-06,-0.6933333333333334,decreasing,,0.0329498648643493,0.0329498648643493,0.0361991264499277,logit,-1.0641915156345658,2.0541046503627616e-33,1.9103173248373683e-31
23,133,23_social_link_networks_community,social; social networks; social network; social; people; information; relations; relationships; connections; structure; structures; important,0.0464868217594927,0.0261494595527773,0.32,increasing,,,,,logit,0.0356235274498216,0.6928249554738242,0.7239631557198388
36,123,36_enterprise_business_planning_management,information; information; technologies; technology; organizations; support; decision; warehouse; olap; enterprises; competitive; today,9.164642860604031e-06,4.019580202019313e-07,-0.7266666666666667,decreasing,,,,,logit,-0.9495532294738528,3.960437374318609e-26,1.841603379058153e-24
60,121,60_ensemble_feature_classifiers_selection,datasets; classifiers; datasets; labels; unlabeled; active; class; instances; best; accuracy; random; subspaces,0.8768160727157305,0.8152851202444511,-0.0366666666666666,no_trend,,,,,logit,-0.1258528978961084,0.1602993296816099,0.1911261238511503
22,119,22_agile_software_software development_process,software; agile; software development; development; agile software; project; projects; software; development; projects; agile; project,0.3061135879788644,0.2336130013522912,-0.1733333333333333,no_trend,,,,,logit,-0.2603422333205225,0.0026645319600881,0.0049653865719909
40,116,40_smart_home_control_remote,software; mobile; developed; developed; software; hardware; controlled; mobile; android; arduino; module; greenhouse,0.0207785031279906,0.0109061510333614,-0.3666666666666666,decreasing,,,,,logit,-0.2634126738245684,0.0023055910780388,0.0045621270267577
28,114,28_reinforcement_reinforcement learning_game_agents,reinforcement learning; reinforcement; reward; environment; rewards; deep reinforcement; reinforcement; deep; training; reward; simulation; environment,0.5795613258098282,0.498219385345291,0.1,no_trend,,,,,logit,0.1621791382052282,0.1063599545499127,0.1393165601850969
47,113,47_encryption_block_key_aes,key; security; key; public; communication; secure; keys; security; encrypted; encryption; information; rsa,0.0975470352501233,0.0650313568334155,-0.2666666666666666,no_trend,,,,,logit,-0.3352766257807278,0.0001579198559115,0.0003671636649943
29,112,29_defects_quality control_defect_fabric,image; images; image processing; processing; image; processing; techniques; vision; human; developed; computer; detect,0.000643031026691,0.000152296822111,0.5433333333333333,increasing,,0.0262463688850402,0.0262463688850402,0.0288345833900215,logit,0.4895238002287173,3.2564501459361016e-05,8.907348928589925e-05
27,109,27_maintenance_fault_industrial_predictive,machine; vibration; machine; machines; vibration; signals; techniques; current; faults; fault; diagnosis; deep,0.000652070822355,0.0001658776653359,0.5366666666666666,increasing,,0.0265430808067321,0.0265430808067321,0.0291605547533866,logit,0.6482992444597688,6.885957612014814e-07,2.3718298441384363e-06
