topic,size,label,keywords,mk_q,mk_p,mk_tau,mk_trend,burst_max,drift_total_dist,drift_step_mean,drift_robust_score,method,beta_year_z,p,q
2,313,2_intrusion_intrusion detection_attacks_detection,attacks; attack; cyber; attacks; attack; cyber; threats; internet; things; iot; devices; security,0.0240339254253706,0.0109061510333614,0.3666666666666666,increasing,,0.0807100534439086,0.0134516755739847,0.0279719729937439,logit,0.647773150816622,1.6445606041378646e-17,1.8455624557547144e-16
0,297,0_cancer_images_breast_diagnosis,images; segmentation; image; images; image; segmentation; cells; cell; features; tissue; histopathological; nuclei,8.945596967180336e-06,4.510385025469077e-07,0.7233333333333334,increasing,,0.087508738040924,0.0145847896734873,0.0303282175237126,logit,0.7150775833011448,4.5353390482329536e-18,5.725865548394102e-17
1,271,1_sentiment_sentiment analysis_twitter_analysis,twitter; social; social media; tweets; media; social; media; twitter; people; tweets; share; users,0.0001788063728051,3.1554065789141106e-05,0.5866666666666667,increasing,,0.1649729609489441,0.0183303289943271,0.0439542092443359,logit,0.438690836803189,2.776016144171909e-09,1.1215105222454513e-08
3,266,3_mining_customer_data mining_customers,mining; data mining; association; association rules; apriori; mining; association; rule; rules; apriori; basket; databases,0.4282580291676504,0.3382878549727659,-0.14,no_trend,,0.1394863128662109,0.0278972625732421,0.0542855663721329,logit,-0.0895981297413608,0.1345606375287082,0.1720332201316396
4,249,4_face_face recognition_recognition_biometric,face; face recognition; recognition; facial; face detection; faces; recognition; face; facial; faces; illumination; pose,0.8926402939132786,0.8701367570919354,0.0266666666666666,no_trend,,0.1129485368728637,0.0225897073745727,0.0439575408443707,logit,-0.102564156671995,0.0990367206097491,0.1333694504211288
18,235,18_optimization_algorithm_algorithms_optimization algorithm,search; compared; literature; search; local; functions; benchmark; space; candidate; binary; continuous; solutions,0.6049806822049962,0.498219385345291,0.1,no_trend,,0.0784744620323181,0.0261581540107727,0.0420999247842277,logit,-0.0517211138847631,0.4377947707318302,0.4913030204879429
6,232,6_video_retrieval_image_multimedia,image; images; image retrieval; image; images; features; feature; texture; color; cbir; retrieval; descriptors,0.0941128763372214,0.0585239735206251,-0.2733333333333333,no_trend,,0.064355194568634,0.021451731522878,0.0345252300002775,logit,-0.1693682559527357,0.0085515675644352,0.0166097754616916
7,221,7_memory_cache_processor_hardware,fpga; hardware; hardware; software; fpga; arithmetic; adder; speed; multiplication; bit; area; circuit,0.7784263446673064,0.7260951618325295,-0.0533333333333333,no_trend,,0.0245843529701232,0.0245843529701232,0.0270086722819317,logit,-0.0781201702938371,0.2410839150033575,0.2969448221382819
5,213,5_recommendation_filtering_collaborative_recommendation systems,recommendation; recommendation systems; item; user; users; recommendations; user item; items; recommendation; users; items; item,0.0046029311546352,0.0017019241244029,0.45,increasing,,0.130439817905426,0.0217399696509043,0.0452069960069493,logit,0.2030972901982931,0.0070247270359988,0.0139117143261937
14,202,14_sensor_sensor networks_wireless sensor_wireless,sensor; wireless sensor; sensor networks; wireless; sensor nodes; nodes; node; sensor; wireless; nodes; node; number,0.0491651593306752,0.0280943767603858,-0.3166666666666666,decreasing,,0.0517846345901489,0.0258923172950744,0.0358943734624887,logit,-0.6027717735282611,2.463255854686167e-19,4.1464806887217155e-18
12,197,12_energy_electricity_solar_consumption,energy; solar; renewable; solar energy; renewable energy; energy; renewable; sources; solar; power; panels; radiation,5.691507951080532e-05,7.167769262350632e-06,0.6433333333333333,increasing,,0.1050361394882202,0.021007227897644,0.0408781779695434,logit,0.6132511672189846,5.555281842437774e-11,2.8054173304310757e-10
8,191,8_speech_music_audio_voice,speech; recognition; speaker; speech recognition; emotion recognition; speech; recognition; speaker; speakers; coefficients; cepstral; mfcc,0.6455424901729628,0.5593049468922573,-0.0866666666666666,no_trend,,0.0367559194564819,0.0183779597282409,0.0254772619401488,logit,-0.1103905751442998,0.1237315284538822,0.162297199660287
22,175,22_text_text classification_classification_documents,text; text classification; documents; texts; categorization; document; text; categorization; documents; document; term; weighting,0.0026968190939039,0.0008385067770961,0.48,increasing,,0.0687378644943237,0.0229126214981079,0.0368764417123074,logit,0.2004919425761007,0.0140636617802096,0.0240750820305283
13,175,13_rendering_graphics_3d_tracing,graphics; computer graphics; graphics; computer; processing; parallel; gpus; gpu; tracing; ray; rendering; scene,8.945596967180336e-06,4.510385025469077e-07,-0.7233333333333334,decreasing,,,,,logit,-0.6871328768177385,5.406757951978681e-22,1.8202751771661558e-20
10,173,10_protein_proteins_drug_interactions,protein; proteins; amino; protein protein; amino acid; protein interactions; protein; proteins; function; functions; amino; acid,0.333808888953348,0.2524605042504313,-0.1666666666666666,no_trend,,,,,logit,-0.2260924159205947,0.0020558818698424,0.0044179589117891
11,171,11_stock_price_market_financial,stock; stock market; market; stocks; market; stock; stocks; direction; bist; term; investors; technical,6.388930747532513e-05,9.663928861813886e-06,0.6333333333333333,increasing,,0.0936081409454345,0.0187216281890869,0.0364306062999842,logit,0.7067473432837169,1.8407233573372342e-11,1.0328503282836704e-10
9,170,9_plant_agricultural_leaf_diseases,images; images; different; obtained; created; carried; color; dataset; deep; datasets; convolutional; neural,2.3023766234087084e-06,5.975556316428765e-08,0.75,increasing,,0.0605195760726928,0.0151298940181732,0.0271091308754787,logit,1.4262028744942608,4.882213735035909e-21,1.2327589680965669e-19
17,160,17_software_code_metrics_defect,software; software quality; projects; metrics; software defect; software; projects; project; complexity; time; metric; metrics,0.0033022739844645,0.0011377582635549,0.4666666666666667,increasing,,0.018045425415039,0.018045425415039,0.0198249261152057,logit,0.2184710708188535,0.0116909718410844,0.021085502784813
26,157,26_xml_enterprise_management_electronic,information; information; organizations; service; services; integration; technologies; enterprise; business; enterprises; process; processes,2.162629831437002e-06,1.8173359928042032e-08,-0.8066666666666666,decreasing,,0.0851721167564392,0.0425860583782196,0.0590368125920483,logit,-1.166403544418049,1.2860675647280772e-41,1.298928240375358e-39
16,157,16_3d_depth_shape_object,depth; images; image; camera; depth estimation; scene; images; image; scene; estimation; depth; camera,0.3001023676829307,0.2244463086032002,-0.1766666666666666,no_trend,,,,,logit,-0.1666237955438844,0.0332352152215299,0.0508599505662806
