topic,size,label,keywords,mk_q,mk_p,mk_tau,mk_trend,burst_max,drift_total_dist,drift_step_mean,drift_robust_score,method,beta_year_z,p,q
0,261,0_cancer_images_breast_diagnosis,histopathological; cancer; nuclei; segmentation; images; histopathological images; cells; cell; histopathology; breast; tissue; mitosis; diagnosis; slide; learning,1.3577270113085405e-05,5.753080556392121e-07,0.7166666666666667,increasing,,0.0654045939445495,0.0130809187889099,0.0254542926303081,logit,0.6917527726622709,2.055038432281275e-15,1.9779744910707276e-14
1,260,1_sentiment_sentiment analysis_twitter_analysis,sentiment; sentiment analysis; analysis; turkish; emotion; lexicon; emotions; texts; reviews; text; polarity; analysis turkish; data; social media; english,0.0002677980223653,4.765897008196518e-05,0.5733333333333334,increasing,,0.1676250696182251,0.0186250077353583,0.0446608180044488,logit,0.4270254973402335,1.2765907912971329e-08,4.9148745464939614e-08
2,258,2_intrusion_intrusion detection_attacks_detection,intrusion; intrusion detection; attacks; detection; iot; learning; cyber; network; machine; machine learning; security; attack; systems; ids; detection systems,0.0591081579248889,0.0335614117031148,0.3066666666666666,increasing,,0.0973618030548095,0.0162269671758015,0.0337430296408369,logit,0.6053138741043077,1.854387951798484e-13,1.2980715662589386e-12
3,234,3_mining_customer_data mining_customers,data; customer; mining; customers; churn; data mining; sales; association; association rules; apriori; forecasting; algorithms; analysis; algorithm; association rule,0.6470390562086898,0.5593049468922573,-0.0866666666666666,no_trend,,0.1282030344009399,0.0320507586002349,0.0574272502179135,logit,-0.0936799063086806,0.1417014948544633,0.1914213176104153
4,214,4_face_face recognition_recognition_biometric,face recognition; face; recognition; fingerprint; biometric; images; face detection; image; vein; fingerprint recognition; facial; palm; fingerprints; faces; identification,0.8319235302339868,0.7614215361463608,-0.0466666666666666,no_trend,,0.068799614906311,0.0229332049687703,0.036909569530361,logit,-0.1647653714936056,0.0127253663762639,0.0204136085619234
5,204,5_recommendation_filtering_collaborative_recommendation systems,recommendation; recommender; item; recommendation systems; collaborative filtering; recommender systems; user; systems; collaborative; user item; filtering; items; users; data; recommendations,0.0036324908513784,0.0012313528309757,0.4633333333333333,increasing,,0.0823398828506469,0.0205849707126617,0.0368833161981938,logit,0.1811953615025138,0.0177644010100047,0.027915487301436
6,202,6_video_retrieval_image_multimedia,image; retrieval; video; image retrieval; multimedia; mpeg; content; images; query; content image; data; cbir; multimedia data; semantic; texture,0.0063635727747583,0.0025885719761729,-0.4333333333333333,decreasing,,0.040645956993103,0.0203229784965515,0.0281736304909301,logit,-0.2687570600896103,7.225192727853463e-05,0.0002060517926091
7,190,7_memory_cache_processor_hardware,cache; soft errors; fpga; memory; processor; register file; arithmetic; register; adder; data; circuits; instruction; chip; multiplication; processors,0.5938372471792357,0.498219385345291,0.1,no_trend,,0.0300284624099731,0.0300284624099731,0.0329896378134049,logit,-0.0268931245431295,0.712393107802092,0.7313902573434811
8,173,8_speech_music_audio_voice,speech; music; speaker; speech recognition; recognition; turkish; voice; audio; melody; musical; speaker recognition; acoustic; turkish speech; phoneme; sound,0.6643446619822524,0.5911541483740381,-0.08,no_trend,,,,,logit,-0.1505331381358777,0.0433553824386975,0.064199316303456
9,161,9_plant_agricultural_leaf_diseases,plant; leaf; diseases; agricultural; learning; deep; plant diseases; deep learning; disease; walnut; model; images; classification; species; leaves,3.5196689378569346e-06,4.5534795267698775e-08,0.7566666666666667,increasing,,0.0409497618675231,0.0136499206225077,0.02196869975158,logit,1.4374089981221116,6.335725089231754e-20,9.757016637416899e-19
