topic,size,label,keywords,mk_q,mk_p,mk_tau,mk_trend,burst_max,drift_total_dist,drift_step_mean,drift_robust_score,method,beta_year_z,p,q
0,503,0_optimization_algorithm_algorithms_genetic,compared; literature; obtained; functions; test; swarm; particle; pso; benchmark; search; bee; abc,0.4077710336205689,0.3152515554041373,-0.1466666666666666,no_trend,,0.3232269883155823,0.0215484658877054,0.0610514010969873,logit,-0.1273627848727551,0.004462620752387,0.0085819629853596
1,299,1_intrusion_intrusion detection_attacks_detection,attacks; attack; cyber; attacks; attack; cyber; threats; internet; things; iot; devices; security,0.034626308259665,0.0183315749609991,0.34,increasing,,0.0851873159408569,0.0141978859901428,0.0295236739319371,logit,0.645674607886025,1.1126303518772494e-16,1.236255946530277e-15
2,258,2_cancer_breast_segmentation_images,images; sperm; histopathological images; images; obtained; computer; aided; sperm; developed; patients; diagnosis; lung,3.013848039290501e-05,2.370175672172792e-06,0.6766666666666666,increasing,,0.054920494556427,0.0109840989112854,0.0213740695496976,logit,0.6788102408805838,7.149664137357114e-15,5.106902955255081e-14
5,245,5_customer_mining_customers_data mining,mining; data mining; association; association rules; apriori; mining; association; rules; rule; apriori; basket; database,0.1446988676842488,0.0972765497036967,-0.24,no_trend,,0.1194297075271606,0.0298574268817901,0.0534973273422317,logit,-0.1353989812038453,0.0279034338223643,0.0465057230372738
6,243,6_video_retrieval_image_visual,image; images; image retrieval; image; images; features; feature; texture; color; retrieval; descriptors; database,0.1005030060152785,0.0650313568334155,-0.2666666666666666,no_trend,,0.0366376042366027,0.0183188021183013,0.0253952520790723,logit,-0.1455701016176978,0.0218925779436755,0.0377458240408198
3,212,3_recommendation_recommender_filtering_collaborative,recommendation; recommendation systems; item; user; users; recommendations; user item; items; recommendation; users; items; item,0.0018252347556657,0.0006288623948091,0.49,increasing,,0.1253519654273986,0.0208919942378997,0.0434436807068245,logit,0.2241448597880959,0.0032688851347556,0.0065279745097338
4,211,4_sentiment_sentiment analysis_analysis_twitter,sentiment; sentiment analysis; sentiment; positive; negative; neutral; language; natural; processing; extraction; feature; machine,0.000201511313485,3.3867447644553295e-05,0.58,increasing,,0.0898672342300415,0.0149778723716735,0.0311456100156367,logit,0.5268259436681233,1.4279214318991216e-09,6.7996258661862946e-09
7,203,7_patients_disease_diagnosis_diabetes,machine; machine learning; machine; vector; support; regression; logistic; random; forest; bayes; naive; decision,0.1446988676842488,0.0972765497036967,0.24,no_trend,,0.061353862285614,0.020451287428538,0.0329150773455759,logit,0.1065606318467034,0.1466355352150529,0.1879942759167345
13,194,13_sensor_sensor networks_wireless sensor_wireless,sensor; wireless sensor; sensor networks; wireless; sensor nodes; nodes; lifetime; sensor; wireless; nodes; node; lifetime,0.0403784618838367,0.0220554623735242,-0.33,decreasing,,0.0222018957138061,0.0222018957138061,0.0243912754629152,logit,-0.5954003568307997,3.0127204364128623e-18,5.02120072735477e-17
10,186,10_energy_electricity_solar_consumption,energy; solar; renewable; energy; renewable; sources; solar; power; panels; radiation; wind; electricity,3.013848039290501e-05,2.532645411168488e-06,0.6733333333333333,increasing,,0.1141548156738281,0.0228309631347656,0.0444270028766481,logit,0.6575451386811754,2.744077669879159e-11,1.5244875943773104e-10
18,185,18_text_text classification_classification_documents,text; text classification; documents; texts; categorization; document; text; categorization; documents; document; vectors; words,0.0051731436893973,0.0022170615811702,0.44,increasing,,0.0442384481430053,0.0221192240715026,0.0306637556026715,logit,0.1764124127870803,0.0249995564961296,0.042372129654457
8,182,8_stock_price_market_financial,stock; stock market; market; market; stock; stocks; bist; term; investors; exchange; markets; technical,1.152630984465238e-05,5.811584795623048e-07,0.7133333333333334,increasing,,0.0973125696182251,0.019462513923645,0.0378723033701511,logit,0.7417129569628819,9.645581031242717e-13,6.4303873541618095e-12
11,177,11_rendering_graphics_3d_tracing,graphics; computer graphics; graphics; computer; hardware; software; processing; gpus; gpu; rendering; tracing; ray,2.732385105064239e-06,1.1480609685143861e-07,-0.76,decreasing,,,,,logit,-0.7799111937711055,2.1994358742855563e-27,1.0997179371427782e-25
9,170,9_plant_agricultural_leaf_diseases,images; dataset; images; techniques; different; obtained; created; dataset; classes; deep; datasets; accuracy,2.7093203184280767e-06,4.5534795267698775e-08,0.7566666666666667,increasing,,0.0624278783798217,0.0156069695949554,0.0279639355577157,logit,1.4243365436456088,4.700765401968087e-21,9.401530803936172e-20
19,170,19_image_images_edge_image segmentation,image; images; image fusion; image processing; image segmentation; image; images; obtained; values; applied; clustering; segmentation,0.210995906989503,0.1542575118326619,0.2066666666666666,no_trend,,0.0451618432998657,0.0451618432998657,0.049615356028136,logit,-0.0176452180636646,0.820827877664962,0.8732211464520871
12,170,12_3d_depth_shape_object,depth; images; image; scene; camera; estimation; images; image; camera; scene; depth; estimation,0.3694808110837078,0.2825441496522471,-0.1566666666666666,no_trend,,0.0644535422325134,0.0322267711162567,0.044675791075568,logit,-0.1273946406290176,0.0934303579088506,0.1267572297788216
17,158,17_cache_memory_power_hardware,hardware; hardware; software; set; embedded; instruction; access; memory; program; execution; address; core,0.1827443498622737,0.1289960116674873,-0.22,no_trend,,,,,logit,-0.2876781469838866,0.0001341194588181,0.0003529459442583
21,156,21_congestion_queue_network_5g,different; allocation; resource; slicing; virtual; latency; qos; quality; service; users; scheduling; number,0.0019592910455214,0.0007079791172892,-0.4866666666666667,decreasing,,,,,logit,-0.4059712484321018,7.051506569581229e-08,2.848822272602132e-07
27,156,27_business_management_enterprise_planning,information; information; technologies; technology; services; service; organizations; olap; warehouse; support; decision; enterprises,2.7093203184280767e-06,2.379907848570895e-08,-0.8,decreasing,,,,,logit,-0.9661037372793674,2.0403365476088688e-33,2.040336547608869e-31
14,152,14_protein_proteins_drug_interactions,protein; proteins; protein protein; protein interaction; protein interactions; protein; proteins; function; functions; sequences; sequence; acid,0.791054843520241,0.69134204811853,-0.06,no_trend,,,,,logit,-0.1667587701822241,0.0353347088826589,0.0552104826291545
24,152,24_face_face recognition_recognition_face detection,face; face recognition; face detection; faces; face images; face; faces; computer; vision; human; color; skin,1.0,1.0,0.0,no_trend,,,,,logit,-0.1306012045329174,0.0938003500363279,0.1267572297788216
16,140,16_software_code_metrics_defect,software; quality; software quality; software defect; defects; software; development; process; product; quality; defects; defect,0.0417559210085765,0.023158746105597,0.3266666666666666,increasing,,0.0181947946548461,0.0181947946548461,0.0199890249976068,logit,0.1921283177410166,0.0362700095933636,0.0558000147590209
