topic,size,label,keywords,mk_q,mk_p,mk_tau,mk_trend,burst_max,drift_total_dist,drift_step_mean,drift_robust_score,method,beta_year_z,p,q
0,303,0_object_detection_object detection_tracking,detection; object; images; object detection; image; learning; tracking; deep learning; deep; model; objects; vehicles; traffic; classification; segmentation,0.0004304045867427,8.683601311476608e-05,0.5633333333333334,increasing,,0.1005861759185791,0.0167643626530965,0.0348605121206348,logit,0.3905182908366287,1.1742041922329748e-08,4.4172443422097626e-08
1,257,1_customer_mining_customers_data mining,data; mining; customer; customers; churn; data mining; sales; association; association rules; apriori; forecasting; algorithms; analysis; algorithm; association rule,0.0523606449680024,0.0298547537098259,-0.3133333333333333,decreasing,,0.1217002272605896,0.0304250568151474,0.0545143836503419,logit,-0.1755191669485234,0.0034565559226677,0.0063504166951337
2,247,2_sensor_wireless sensor_sensor networks_wireless,sensor; wireless sensor; sensor networks; wireless; energy; lifetime; sensor nodes; nodes; network lifetime; wsns; routing; sink; network; networks; wsn,0.0989643974530838,0.0616357212207803,-0.27,no_trend,,0.1297029256820678,0.0216171542803446,0.0449516086234507,logit,-0.5244376608528537,9.10822642972652e-18,1.43909977589679e-16
3,237,3_intrusion_intrusion detection_attacks_detection,intrusion; intrusion detection; attacks; detection; learning; iot; cyber; network; machine; security; systems; machine learning; attack; ids; data,0.1141968443697386,0.0721243227598349,0.26,no_trend,,0.1020477414131164,0.017007956902186,0.035367052121506,logit,0.5964987504707666,2.0392168184386096e-12,1.3424844054720848e-11
4,235,4_students_education_programming_usability,students; education; learning; programming; distance education; gamification; exam; software; game; learning management; educational; web; distance learning; distance; web distance,0.0002620573559246,4.367622598744347e-05,-0.5866666666666667,decreasing,,0.0790258646011352,0.0395129323005676,0.0547765552395888,logit,-0.5212029731185153,2.3211660264670278e-17,3.0562019348482543e-16
5,219,5_sentiment_sentiment analysis_analysis_twitter,sentiment; sentiment analysis; analysis; turkish; emotion; lexicon; data; text; emotions; texts; arabic; twitter; social media; learning; analysis turkish,0.0002620573559246,4.1702070905591526e-05,0.5733333333333334,increasing,,0.0955832600593566,0.0159305433432261,0.0331266336094355,logit,0.5244673803965545,6.531408576788715e-10,2.8665626531461592e-09
6,214,6_video_retrieval_image_visual,image; video; retrieval; image retrieval; multimedia; mpeg; query; content image; images; content; data; cbir; video data; color; database,0.0214362278931587,0.0109061510333614,-0.3666666666666666,decreasing,,0.0406981706619262,0.0203490853309631,0.0282098222482616,logit,-0.1880370748982923,0.0050595104366035,0.0088822516553707
7,201,7_cancer_breast_segmentation_images,histopathological; cancer; images; segmentation; histopathological images; nuclei; breast; cells; histopathology; cell; mitosis; pathologists; tissue; breast cancer; diagnosis,0.000326866473274,5.865671505977943e-05,0.5766666666666667,increasing,,0.0693475604057312,0.0138695120811462,0.0269888243211477,logit,0.6118524273638299,1.0994393730338404e-10,5.109159439392553e-10
8,196,8_recommendation_recommender_filtering_collaborative,recommendation; recommender; collaborative filtering; recommender systems; collaborative; filtering; recommendation systems; item; systems; user; users; user item; items; recommendations; data,0.0075345621441499,0.0031724472185894,0.4233333333333333,increasing,,0.0840710401535034,0.0210177600383758,0.0376587705707229,logit,0.2003636951238361,0.0105358779227538,0.0169864154264806
9,171,9_disease_patients_diagnosis_cancer,disease; learning; heart; machine; data; machine learning; heart disease; thyroid; diagnosis; diseases; patients; anemia; algorithms; diabetes; cancer,0.1213548538616958,0.0798387196458525,0.2533333333333333,no_trend,,0.0460630059242248,0.0230315029621124,0.0319284426844925,logit,0.0973374945109773,0.2231512852627574,0.2754523677462162
10,159,10_plant_agricultural_leaf_diseases,plant; diseases; agricultural; leaf; plant diseases; learning; disease; deep; deep learning; model; classification; images; leaves; models; accuracy,3.946617296968213e-06,3.461944997340538e-08,0.7633333333333333,increasing,,0.040930688381195,0.0136435627937316,0.021958467220907,logit,1.428432876722565,6.950244952141337e-20,1.372673378047914e-18
11,151,11_energy_electricity_solar_consumption,energy; electricity; solar; wind; electricity consumption; solar energy; consumption; energy potential; forecasting; data; renewable; wind solar; solar radiation; renewable energy; wind energy,0.000134886566449,1.758626551184861e-05,0.6133333333333333,increasing,,0.0688070058822631,0.022935668627421,0.0369135346359968,logit,0.7438136433571579,6.122046839772375e-11,3.02276062713761e-10
