topic,size,label,keywords,mk_q,mk_p,mk_tau,mk_trend,burst_max,drift_total_dist,drift_step_mean,drift_robust_score,method,beta_year_z,p,q
0,255,0_sentiment_sentiment analysis_analysis_social,sentiment; sentiment analysis; analysis; turkish; lexicon; emotion; data; text; texts; twitter; polarity; emotions; social media; reviews; analysis turkish,0.0001021123243742,1.6725294509578603e-05,0.6066666666666667,increasing,,0.125468909740448,0.0179241299629211,0.0393833388818988,logit,0.4835277967694106,4.1325958604494526e-10,1.7745852812518235e-09
1,247,1_sensor_wireless sensor_sensor networks_wireless,sensor; wireless sensor; sensor networks; wireless; energy; lifetime; network lifetime; sensor nodes; wsns; nodes; network; sink; routing; networks; wsn,0.0848189394951684,0.0497214472902711,-0.2833333333333333,decreasing,,0.1297029256820678,0.0216171542803446,0.0449516086234507,logit,-0.5282612660783454,5.101991406736852e-18,7.448907453835804e-17
2,240,2_intrusion_intrusion detection_attacks_detection,intrusion; intrusion detection; attacks; detection; iot; learning; network; ids; security; machine; machine learning; cyber; systems; attack; detection systems,0.0730030910704438,0.0421655784631012,0.2933333333333333,increasing,,0.0954414010047912,0.0159069001674652,0.033077469007581,logit,0.5979018099878122,1.492679182405682e-12,1.089655803156148e-11
3,232,3_cancer_breast_images_segmentation,histopathological; cancer; nuclei; images; histopathological images; segmentation; breast; histopathology; breast cancer; pathologists; mitosis; slide; cells; tissue; diagnosis,3.118519937001756e-05,1.8818654792251976e-06,0.6833333333333333,increasing,,0.0626757740974426,0.0125351548194885,0.0243922849832223,logit,0.5963492949918185,1.071498262961393e-11,6.518281099681807e-11
4,220,4_students_education_programming_usability,students; education; learning; programming; distance education; gamification; exam; learning management; game; web; software; distance; distance learning; educational; content,6.917099435237036e-05,6.559318429966154e-06,-0.6466666666666666,decreasing,,,,,logit,-0.4911311486215362,8.994610421486941e-15,8.207582009606832e-14
5,219,5_face_face recognition_recognition_biometric,face recognition; face; fingerprint; recognition; images; biometric; image; fingerprints; facial; fingerprint recognition; face detection; gabor; systems; faces; illumination,0.8331646489910017,0.7972523796379414,-0.04,no_trend,,0.1011932492256164,0.0252983123064041,0.0453284906304882,logit,-0.1275779877855614,0.0533151430445295,0.0763138322009932
6,214,6_customer_mining_customers_data mining,data; customer; mining; data mining; customers; churn; sales; forecasting; association; apriori; analysis; association rules; demand forecasting; basket analysis; algorithm,0.4798760233120749,0.413686226993168,-0.12,no_trend,,0.093984305858612,0.0313281019528706,0.0504206350075508,logit,-0.0832672764565095,0.2126564890569221,0.2723495386167599
7,193,7_speech_audio_music_voice,speech; music; speaker; speech recognition; recognition; turkish; voice; audio; musical; speaker recognition; acoustic; melody; phoneme; turkish speech; model,0.682662665887125,0.6238124360692694,-0.0733333333333333,no_trend,,0.0420593619346618,0.0210296809673309,0.0291533281411611,logit,-0.0960218185400697,0.18263806359211,0.2380817614682862
8,192,8_video_retrieval_image_multimedia,image; video; retrieval; image retrieval; multimedia; mpeg; content; images; content image; query; data; cbir; texture; color; video database,0.0025596522669251,0.0008385067770961,-0.48,decreasing,,0.0141096711158752,0.0141096711158752,0.015501058076966,logit,-0.28513405219399,4.13648808808654e-05,0.0001078441537251
9,180,9_recommendation_recommendation systems_filtering_recommendations,recommendation; recommender; item; collaborative filtering; recommendation systems; recommender systems; systems; user; collaborative; filtering; user item; items; users; data; recommendations,0.0011398187581193,0.0002849546895298,0.52,increasing,,0.1154893040657043,0.0230978608131408,0.0449463617777578,logit,0.2473104891129306,0.0028433829254632,0.0056099176637518
